CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
16808529000176;POSTO REZENDE;RUA BENJAMIN CONSTANT,461;;ESPLANADA;ARACUAI;MG;Etanol;3,48;15/10/2018 15:43
16808529000176;POSTO REZENDE;RUA BENJAMIN CONSTANT,461;;ESPLANADA;ARACUAI;MG;Diesel S500;4,07;15/10/2018 15:43
16909633000157;POSTOS ARCO VERDE;ESTRADA DE VERA CRUZ,S/N;LOTE  V DOS COQUEIROS I A       9-3;ZONA DE EXPANCAO;SAO JOSE DE MIPIBU;RN;Gasolina C Comum;4,33;17/07/2018 11:19
16909633000157;POSTOS ARCO VERDE;ESTRADA DE VERA CRUZ,S/N;LOTE  V DOS COQUEIROS I A       9-3;ZONA DE EXPANCAO;SAO JOSE DE MIPIBU;RN;Etanol;3,59;17/07/2018 11:19
16909633000157;POSTOS ARCO VERDE;ESTRADA DE VERA CRUZ,S/N;LOTE  V DOS COQUEIROS I A       9-3;ZONA DE EXPANCAO;SAO JOSE DE MIPIBU;RN;Diesel S500;3,38;17/07/2018 11:19
16909633000157;POSTOS ARCO VERDE;ESTRADA DE VERA CRUZ,S/N;LOTE  V DOS COQUEIROS I A       9-3;ZONA DE EXPANCAO;SAO JOSE DE MIPIBU;RN;Diesel S10;3,48;17/07/2018 11:19
16923420000180;AUTO POSTO MANGUEIRAO;AVENIDA INTENDENTE NORBERTO LIMA,1930;;JARDIM PETROPOLIS;CONCEICAO DO ARAGUAIA;PA;Gasolina C Comum;5,04;24/05/2019 10:49
16923420000180;AUTO POSTO MANGUEIRAO;AVENIDA INTENDENTE NORBERTO LIMA,1930;;JARDIM PETROPOLIS;CONCEICAO DO ARAGUAIA;PA;Diesel S500;4,01;24/05/2019 10:49
16923420000180;AUTO POSTO MANGUEIRAO;AVENIDA INTENDENTE NORBERTO LIMA,1930;;JARDIM PETROPOLIS;CONCEICAO DO ARAGUAIA;PA;Diesel S10;4,03;24/05/2019 10:49
17071865000141;AUTO POSTO TITAN SAPOPEMBA;AVENIDA SAPOPEMBA,7046;;SAPOPEMBA;SAO PAULO;SP;Gasolina C Comum;3,999;08/08/2018 15:24
17071865000141;AUTO POSTO TITAN SAPOPEMBA;AVENIDA SAPOPEMBA,7046;;SAPOPEMBA;SAO PAULO;SP;Etanol;2,299;08/08/2018 15:24
17071865000141;AUTO POSTO TITAN SAPOPEMBA;AVENIDA SAPOPEMBA,7046;;SAPOPEMBA;SAO PAULO;SP;Diesel S10;3,189;08/08/2018 15:24
17112586000189;POSTO LARANJAL;AVENIDA ADOLFO FETTER,1997;;RECANTO DE PORTUGAL;PELOTAS;RS;Gasolina C Comum;4,799;24/07/2018 19:41
17112586000189;POSTO LARANJAL;AVENIDA ADOLFO FETTER,1997;;RECANTO DE PORTUGAL;PELOTAS;RS;Etanol;3,999;24/07/2018 19:41
17112586000189;POSTO LARANJAL;AVENIDA ADOLFO FETTER,1997;;RECANTO DE PORTUGAL;PELOTAS;RS;Diesel S500;3,399;24/07/2018 19:41
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;Gasolina C Comum;5,199;03/07/2018 17:17
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;Etanol;3,799;03/07/2018 17:17
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;GNV;5,099;03/07/2018 17:17
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;Diesel S500;3,589;03/07/2018 17:17
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;Diesel S10;3,639;03/07/2018 17:17
17354868000192;POSTO DA FIGUEIRA AGUAS CLARAS;RODOVIA TAPIR ROCHA,17800;;AGUAS CLARAS;VIAMAO;RS;Gasolina C Comum;4,299;11/10/2019 08:16
17354868000192;POSTO DA FIGUEIRA AGUAS CLARAS;RODOVIA TAPIR ROCHA,17800;;AGUAS CLARAS;VIAMAO;RS;Etanol;3,899;11/10/2019 08:16
17354868000192;POSTO DA FIGUEIRA AGUAS CLARAS;RODOVIA TAPIR ROCHA,17800;;AGUAS CLARAS;VIAMAO;RS;Diesel S500;3,699;11/10/2019 08:16
17354868000192;POSTO DA FIGUEIRA AGUAS CLARAS;RODOVIA TAPIR ROCHA,17800;;AGUAS CLARAS;VIAMAO;RS;Diesel S10;3,799;11/10/2019 08:16
17918376000182;LAVAJATO PARAGUACU;PRACA PEDRO LEITE,128;;CENTRO;PARAGUACU;MG;Gasolina C Comum;4,699;06/12/2018 11:36
17918376000182;LAVAJATO PARAGUACU;PRACA PEDRO LEITE,128;;CENTRO;PARAGUACU;MG;Etanol;2,769;06/12/2018 11:36
17918376000182;LAVAJATO PARAGUACU;PRACA PEDRO LEITE,128;;CENTRO;PARAGUACU;MG;Diesel S500;3,459;06/12/2018 11:36
17918376000182;LAVAJATO PARAGUACU;PRACA PEDRO LEITE,128;;CENTRO;PARAGUACU;MG;Diesel S10;3,489;06/12/2018 11:36
17962000000175;CUPECE COMERCIO VAREJISTA DE COMBUSTIVEIS EIRELI;AVENIDA CUPECE,5810;;JARDIM PRUDENCIA;SAO PAULO;SP;Gasolina C Comum;4,299;20/05/2019 11:04
17962000000175;CUPECE COMERCIO VAREJISTA DE COMBUSTIVEIS EIRELI;AVENIDA CUPECE,5810;;JARDIM PRUDENCIA;SAO PAULO;SP;Etanol;2,899;20/05/2019 11:04
17962000000175;CUPECE COMERCIO VAREJISTA DE COMBUSTIVEIS EIRELI;AVENIDA CUPECE,5810;;JARDIM PRUDENCIA;SAO PAULO;SP;Diesel S10;3,569;20/05/2019 11:04
18590664000113;A1 COMBUSTIVEIS;AVENIDA PRESIDENTE VARGAS,357;;SETOR IMPERIAL;GOIATUBA;GO;Gasolina C Comum;4,49;25/07/2018 11:18
18590664000113;A1 COMBUSTIVEIS;AVENIDA PRESIDENTE VARGAS,357;;SETOR IMPERIAL;GOIATUBA;GO;Etanol;2,65;25/07/2018 11:18
18590664000113;A1 COMBUSTIVEIS;AVENIDA PRESIDENTE VARGAS,357;;SETOR IMPERIAL;GOIATUBA;GO;Diesel S500;3,399;25/07/2018 11:18
18590664000113;A1 COMBUSTIVEIS;AVENIDA PRESIDENTE VARGAS,357;;SETOR IMPERIAL;GOIATUBA;GO;Diesel S10;3,5;25/07/2018 11:18
18740269000170;AUTO POSTO AVENIDA;AVENIDA BRASIL,140;;CENTRO;NOVA CANAA DO NORTE;MT;Gasolina C Comum;4,92;14/06/2019 16:58
18740269000170;AUTO POSTO AVENIDA;AVENIDA BRASIL,140;;CENTRO;NOVA CANAA DO NORTE;MT;Etanol;3,06;20/08/2019 18:27
18740269000170;AUTO POSTO AVENIDA;AVENIDA BRASIL,140;;CENTRO;NOVA CANAA DO NORTE;MT;Diesel S500;4,08;14/06/2019 16:58
18740269000170;AUTO POSTO AVENIDA;AVENIDA BRASIL,140;;CENTRO;NOVA CANAA DO NORTE;MT;Diesel S10;4,18;14/06/2019 16:58
18851910000143;AUTO POSTO TERRA;AVENIDA ARAGUAIA,S/N;;VILA NOVA;CONCEICAO DO ARAGUAIA;PA;Gasolina C Comum;5,02;16/05/2019 15:02
18851910000143;AUTO POSTO TERRA;AVENIDA ARAGUAIA,S/N;;VILA NOVA;CONCEICAO DO ARAGUAIA;PA;Diesel S500;4,03;16/05/2019 15:02
18851910000143;AUTO POSTO TERRA;AVENIDA ARAGUAIA,S/N;;VILA NOVA;CONCEICAO DO ARAGUAIA;PA;Diesel S10;4,06;16/05/2019 15:02
18974530000104;CAMINHO DO MAR AUTO POSTO LTDA;AVENIDA CAMINHO DO MAR,2965;;RUDGE RAMOS;SAO BERNARDO DO CAMPO;SP;Gasolina C Comum;4,099;08/10/2019 16:55
18974530000104;CAMINHO DO MAR AUTO POSTO LTDA;AVENIDA CAMINHO DO MAR,2965;;RUDGE RAMOS;SAO BERNARDO DO CAMPO;SP;Etanol;2,699;08/10/2019 16:55
18974530000104;CAMINHO DO MAR AUTO POSTO LTDA;AVENIDA CAMINHO DO MAR,2965;;RUDGE RAMOS;SAO BERNARDO DO CAMPO;SP;Diesel S10;3,579;21/09/2019 12:53
19079066000147;G20;RUA DO GLICERIO,498;TERREO;LIBERDADE;SAO PAULO;SP;Gasolina C Comum;3,999;26/07/2018 19:38
19079066000147;G20;RUA DO GLICERIO,498;TERREO;LIBERDADE;SAO PAULO;SP;Etanol;2,349;26/07/2018 19:38
19219352000160;DERIVADOS DE PETROLEO VITORIA LTDA;RODOVIA BA 142,S/N;KM    09;SEDE;TANHACU;BA;Gasolina C Comum;4,559;07/12/2018 19:08
19219352000160;DERIVADOS DE PETROLEO VITORIA LTDA;RODOVIA BA 142,S/N;KM    09;SEDE;TANHACU;BA;Diesel S500;3,58;07/12/2018 19:07
19219352000160;DERIVADOS DE PETROLEO VITORIA LTDA;RODOVIA BA 142,S/N;KM    09;SEDE;TANHACU;BA;Diesel S10;3,68;07/12/2018 19:07
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;GNV;1;11/10/2018 17:15
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;Gasolina C Comum;4,799;11/10/2018 17:18
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;Etanol;2,799;11/10/2018 17:18
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;Diesel S500;3,799;11/10/2018 17:19
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;Diesel S10;3,899;11/10/2018 17:19
19520321000145;GOL AUTO POSTO;AVENIDA AYRTON SENNA,1025;;SETOR 3;BURITIS;RO;Diesel S500;3,62;06/07/2018 13:14
19520321000145;GOL AUTO POSTO;AVENIDA AYRTON SENNA,1025;;SETOR 3;BURITIS;RO;Diesel S10;3,72;06/07/2018 13:14
19520321000145;GOL AUTO POSTO;AVENIDA AYRTON SENNA,1025;;SETOR 3;BURITIS;RO;Gasolina C Comum;4,81;06/07/2018 13:14
19520321000145;GOL AUTO POSTO;AVENIDA AYRTON SENNA,1025;;SETOR 3;BURITIS;RO;Etanol;4,16;06/07/2018 13:14
19953346000132;POROROCA AUTO POSTO IV;AVENIDA EURICO SOARES ANDRADE,1071;;CENTRO;NOVA ANDRADINA;MS;Gasolina C Comum;4,19;27/07/2018 11:04
19953346000132;POROROCA AUTO POSTO IV;AVENIDA EURICO SOARES ANDRADE,1071;;CENTRO;NOVA ANDRADINA;MS;Etanol;2,99;16/07/2018 12:17
19953346000132;POROROCA AUTO POSTO IV;AVENIDA EURICO SOARES ANDRADE,1071;;CENTRO;NOVA ANDRADINA;MS;Diesel S500;3,39;16/07/2018 12:17
19953346000132;POROROCA AUTO POSTO IV;AVENIDA EURICO SOARES ANDRADE,1071;;CENTRO;NOVA ANDRADINA;MS;Diesel S10;3,49;16/07/2018 12:17
20630766000167;POSTO MAX;ACESSO PLINIO ARLINDO DE NES,3821;D;BELVEDERE;CHAPECO;SC;Gasolina C Comum;4,399;25/09/2018 08:43
20630766000167;POSTO MAX;ACESSO PLINIO ARLINDO DE NES,3821;D;BELVEDERE;CHAPECO;SC;Diesel S500;3,399;25/09/2018 08:43
20630766000167;POSTO MAX;ACESSO PLINIO ARLINDO DE NES,3821;D;BELVEDERE;CHAPECO;SC;Diesel S10;3,469;25/09/2018 08:43
20630766000248;AUTO POSTO IMPERIAL;RODOVIA SC 355,2010;KM 55;DOIS PINHEIROS;VIDEIRA;SC;Gasolina C Comum;4,399;25/09/2018 08:54
20630766000248;AUTO POSTO IMPERIAL;RODOVIA SC 355,2010;KM 55;DOIS PINHEIROS;VIDEIRA;SC;Diesel S10;3,499;25/09/2018 08:54
20887348000150;ABASTECEDORA DE COMBUSTIVEIS RODOVIA RS-118 LTDA;RODOVIA RS-118,S/N;KM    12,5;JARDIM BETANIA;CACHOEIRINHA;RS;Gasolina C Comum;4,539;14/10/2019 15:38
20887348000150;ABASTECEDORA DE COMBUSTIVEIS RODOVIA RS-118 LTDA;RODOVIA RS-118,S/N;KM    12,5;JARDIM BETANIA;CACHOEIRINHA;RS;Diesel S500;3,339;14/10/2019 15:38
20887348000150;ABASTECEDORA DE COMBUSTIVEIS RODOVIA RS-118 LTDA;RODOVIA RS-118,S/N;KM    12,5;JARDIM BETANIA;CACHOEIRINHA;RS;Diesel S10;3,439;14/10/2019 15:38
20887348000230;POSTO DA FIGUEIRA VII;ESTRADA BERICO JOSE BERNARDES,1166;;SAO TOME;VIAMAO;RS;Gasolina C Comum;4,249;14/10/2019 16:19
20887348000230;POSTO DA FIGUEIRA VII;ESTRADA BERICO JOSE BERNARDES,1166;;SAO TOME;VIAMAO;RS;Etanol;3,999;14/10/2019 16:19
20887348000230;POSTO DA FIGUEIRA VII;ESTRADA BERICO JOSE BERNARDES,1166;;SAO TOME;VIAMAO;RS;Diesel S500;3,549;14/10/2019 16:19
20887348000230;POSTO DA FIGUEIRA VII;ESTRADA BERICO JOSE BERNARDES,1166;;SAO TOME;VIAMAO;RS;Diesel S10;3,599;14/10/2019 16:19
21205041000194;POSTO ROTTAVA;AVENIDA PINHEIRO MACHADO,5826;;IGARAPE;PORTO VELHO;RO;Gasolina C Comum;3,829;08/02/2019 14:11
21205041000194;POSTO ROTTAVA;AVENIDA PINHEIRO MACHADO,5826;;IGARAPE;PORTO VELHO;RO;Diesel S500;3,609;08/02/2019 14:11
21205041000194;POSTO ROTTAVA;AVENIDA PINHEIRO MACHADO,5826;;IGARAPE;PORTO VELHO;RO;Diesel S10;3,709;08/02/2019 14:11
21298404000183;POSTOS ARCO VERDE;RUA ROSA FERNANDES SILVA,355;;NOVA ESPERANCA;PARNAMIRIM;RN;Gasolina C Comum;4,769;29/07/2018 20:22
21298404000183;POSTOS ARCO VERDE;RUA ROSA FERNANDES SILVA,355;;NOVA ESPERANCA;PARNAMIRIM;RN;Etanol;3,599;29/07/2018 20:22
21298404000183;POSTOS ARCO VERDE;RUA ROSA FERNANDES SILVA,355;;NOVA ESPERANCA;PARNAMIRIM;RN;Diesel S500;3,47;29/07/2018 20:22
21298404000183;POSTOS ARCO VERDE;RUA ROSA FERNANDES SILVA,355;;NOVA ESPERANCA;PARNAMIRIM;RN;Diesel S10;3,599;29/07/2018 20:22
21387460000356;AUTO POSTO NAPOLES;AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES,2765;;JARDIM INDEPENDENTE I;ALTAMIRA;PA;Gasolina C Comum;5,179;28/06/2019 14:15
21387460000356;AUTO POSTO NAPOLES;AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES,2765;;JARDIM INDEPENDENTE I;ALTAMIRA;PA;Diesel S500;4,098;28/06/2019 14:15
21387460000356;AUTO POSTO NAPOLES;AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES,2765;;JARDIM INDEPENDENTE I;ALTAMIRA;PA;Diesel S10;4,197;28/06/2019 14:15
21790274000100;POSTO ODEON LTDA;AVENIDA DO CONTORNO,1550;;FLORESTA;BELO HORIZONTE;MG;Gasolina C Comum;4,338;12/09/2019 05:39
21790274000100;POSTO ODEON LTDA;AVENIDA DO CONTORNO,1550;;FLORESTA;BELO HORIZONTE;MG;Etanol;2,748;12/09/2019 05:39
22139471000118;POSTO PRESIDENTE TANCREDO NEVES LTDA;RUA CANDEIAS,53;;INDUSTRIAL 4 SECAO;IBIRITE;MG;Gasolina C Comum;4,498;11/10/2019 12:45
22139471000118;POSTO PRESIDENTE TANCREDO NEVES LTDA;RUA CANDEIAS,53;;INDUSTRIAL 4 SECAO;IBIRITE;MG;Etanol;2,888;11/10/2019 12:45
22139471000118;POSTO PRESIDENTE TANCREDO NEVES LTDA;RUA CANDEIAS,53;;INDUSTRIAL 4 SECAO;IBIRITE;MG;Diesel S10;3,748;11/10/2019 12:45
22623880000195;AUTO POSTO DELABRANTE LTDA;RUA SALDANHA MARINHO,1174;;CENTRO;GUARAPUAVA;PR;Gasolina C Comum;4,52;24/09/2018 16:03
22623880000195;AUTO POSTO DELABRANTE LTDA;RUA SALDANHA MARINHO,1174;;CENTRO;GUARAPUAVA;PR;Etanol;2,92;24/09/2018 16:03
22623880000195;AUTO POSTO DELABRANTE LTDA;RUA SALDANHA MARINHO,1174;;CENTRO;GUARAPUAVA;PR;Diesel S10;3,39;24/09/2018 16:03
22730932000122;POSTO DA FIGUEIRA TRES;RODOVIA RS 040,21306;"KM: 32;";MORRO GRANDE;VIAMAO;RS;Gasolina C Comum;4,299;11/10/2019 09:28
22730932000122;POSTO DA FIGUEIRA TRES;RODOVIA RS 040,21306;"KM: 32;";MORRO GRANDE;VIAMAO;RS;Etanol;3,899;11/10/2019 09:28
22730932000122;POSTO DA FIGUEIRA TRES;RODOVIA RS 040,21306;"KM: 32;";MORRO GRANDE;VIAMAO;RS;Diesel S500;3,699;11/10/2019 09:28
22730932000122;POSTO DA FIGUEIRA TRES;RODOVIA RS 040,21306;"KM: 32;";MORRO GRANDE;VIAMAO;RS;Diesel S10;3,799;11/10/2019 09:28
22794128000298;POSTO MIMIM II;AVENIDA SETE DE SETEMBRO,623;LOJA  01;CENTRO;ITAJAI;SC;Gasolina C Comum;1;16/10/2019 17:50
22794128000298;POSTO MIMIM II;AVENIDA SETE DE SETEMBRO,623;LOJA  01;CENTRO;ITAJAI;SC;Etanol;1;16/10/2019 17:50
22794128000298;POSTO MIMIM II;AVENIDA SETE DE SETEMBRO,623;LOJA  01;CENTRO;ITAJAI;SC;GNV;1;16/10/2019 17:50
22794128000298;POSTO MIMIM II;AVENIDA SETE DE SETEMBRO,623;LOJA  01;CENTRO;ITAJAI;SC;Diesel S10;1;16/10/2019 17:50
22955868000188;POSTO CASCAO;AVENIDA TANCREDO NEVES,120;;COHAB;TUCURUI;PA;Gasolina C Comum;5,17;08/10/2018 16:59
22955868000188;POSTO CASCAO;AVENIDA TANCREDO NEVES,120;;COHAB;TUCURUI;PA;Diesel S500;4,14;08/10/2018 16:59
22955868000188;POSTO CASCAO;AVENIDA TANCREDO NEVES,120;;COHAB;TUCURUI;PA;Diesel S10;4,16;08/10/2018 16:59
23749013000163;POSTO SERRA NEGRA;AVENIDA BRASILIA,416;;SAO BENEDITO;SANTA LUZIA;MG;Gasolina C Comum;4,498;11/10/2019 12:38
23749013000163;POSTO SERRA NEGRA;AVENIDA BRASILIA,416;;SAO BENEDITO;SANTA LUZIA;MG;Etanol;2,898;11/10/2019 12:38
23749013000163;POSTO SERRA NEGRA;AVENIDA BRASILIA,416;;SAO BENEDITO;SANTA LUZIA;MG;Diesel S10;3,748;11/10/2019 12:40
23830523000160;AUTO POSTO CAMPECHE EIRELI;RODOVIA FRANCISCO MAGNO VIEIRA,3.950;;CAMPECHE;FLORIANOPOLIS;SC;Gasolina C Comum;4,199;18/07/2018 17:49
23830523000160;AUTO POSTO CAMPECHE EIRELI;RODOVIA FRANCISCO MAGNO VIEIRA,3.950;;CAMPECHE;FLORIANOPOLIS;SC;Diesel S10;3,299;18/07/2018 17:49
23859521000102;AUTO POSTO COLOSSAL MERCES LTDA;RUA MARTIM AFONSO,700;;MERCES;CURITIBA;PR;Gasolina C Comum;3,999;25/06/2019 15:15
23859521000102;AUTO POSTO COLOSSAL MERCES LTDA;RUA MARTIM AFONSO,700;;MERCES;CURITIBA;PR;Etanol;2,799;25/06/2019 15:15
23859521000102;AUTO POSTO COLOSSAL MERCES LTDA;RUA MARTIM AFONSO,700;;MERCES;CURITIBA;PR;Diesel S10;3,299;25/06/2019 15:15
23898869000109;AUTO POSTO XANATAM LTDA;RODOVIA RODOVIA MG 5,765;;GOIANIA;BELO HORIZONTE;MG;Gasolina C Comum;4,548;11/10/2019 12:47
23898869000109;AUTO POSTO XANATAM LTDA;RODOVIA RODOVIA MG 5,765;;GOIANIA;BELO HORIZONTE;MG;Etanol;2,868;11/10/2019 12:47
23898869000109;AUTO POSTO XANATAM LTDA;RODOVIA RODOVIA MG 5,765;;GOIANIA;BELO HORIZONTE;MG;Diesel S10;3,748;11/10/2019 12:47
24601882000109;POSTO KATIA LOCATELLI;RUA CEARA,1661;;VILA CELIA;CAMPO GRANDE;MS;Gasolina C Comum;4,057;23/07/2018 15:59
24601882000109;POSTO KATIA LOCATELLI;RUA CEARA,1661;;VILA CELIA;CAMPO GRANDE;MS;Etanol;2,997;23/07/2018 15:59
24601882000109;POSTO KATIA LOCATELLI;RUA CEARA,1661;;VILA CELIA;CAMPO GRANDE;MS;Diesel S10;3,497;23/07/2018 15:59
24610891000166;POSTO CAMPO GRANDE;AVENIDA CAPIBARIBE,327;;SILVIA REGINA;CAMPO GRANDE;MS;Gasolina C Comum;4,089;29/06/2018 18:31
24610891000166;POSTO CAMPO GRANDE;AVENIDA CAPIBARIBE,327;;SILVIA REGINA;CAMPO GRANDE;MS;Etanol;3,299;29/06/2018 18:31
24610891000166;POSTO CAMPO GRANDE;AVENIDA CAPIBARIBE,327;;SILVIA REGINA;CAMPO GRANDE;MS;Diesel S500;3,429;29/06/2018 18:31
24610891000166;POSTO CAMPO GRANDE;AVENIDA CAPIBARIBE,327;;SILVIA REGINA;CAMPO GRANDE;MS;Diesel S10;3,499;29/06/2018 18:31
24624785000131;POSTINHO;AVENIDA DO POETA,990;;DO DESBARRANCADO;CAMPO GRANDE;MS;Gasolina C Comum;4,099;06/12/2018 08:22
24624785000131;POSTINHO;AVENIDA DO POETA,990;;DO DESBARRANCADO;CAMPO GRANDE;MS;Etanol;3,299;25/10/2018 18:50
24624785000131;POSTINHO;AVENIDA DO POETA,990;;DO DESBARRANCADO;CAMPO GRANDE;MS;Diesel S500;3,569;06/12/2018 08:22
24624785000131;POSTINHO;AVENIDA DO POETA,990;;DO DESBARRANCADO;CAMPO GRANDE;MS;Diesel S10;3,599;06/12/2018 08:22
24725400000122;POSTO CORONEL;RODOVIA MT 320 KM 33,S/N;;ZONA RURAL;COLIDER;MT;Gasolina C Comum;4,92;15/08/2018 09:15
24725400000122;POSTO CORONEL;RODOVIA MT 320 KM 33,S/N;;ZONA RURAL;COLIDER;MT;Etanol;2,97;15/08/2018 09:15
24725400000122;POSTO CORONEL;RODOVIA MT 320 KM 33,S/N;;ZONA RURAL;COLIDER;MT;Diesel S500;3,87;15/08/2018 09:15
24725400000122;POSTO CORONEL;RODOVIA MT 320 KM 33,S/N;;ZONA RURAL;COLIDER;MT;Diesel S10;3,99;15/08/2018 09:15
25240709000195;POSTO INTERLAGOS;RUA ALMEIDA,700;QUADRA0082                LOTE  010E;VILA JARDIM RIO CLARO;JATAI;GO;Gasolina C Comum;5,15;01/10/2018 16:09
25240709000195;POSTO INTERLAGOS;RUA ALMEIDA,700;QUADRA0082                LOTE  010E;VILA JARDIM RIO CLARO;JATAI;GO;Etanol;3,12;01/10/2018 16:09
25240709000195;POSTO INTERLAGOS;RUA ALMEIDA,700;QUADRA0082                LOTE  010E;VILA JARDIM RIO CLARO;JATAI;GO;Diesel S500;3,99;01/10/2018 16:09
25240709000195;POSTO INTERLAGOS;RUA ALMEIDA,700;QUADRA0082                LOTE  010E;VILA JARDIM RIO CLARO;JATAI;GO;Diesel S10;4,09;01/10/2018 16:09
25550716000193;POSTO DAS NACOES LTDA;RODOVIA MG 5,KM 6;;;SABARA;MG;Diesel S500;3,224;11/03/2019 15:26
25550716000193;POSTO DAS NACOES LTDA;RODOVIA MG 5,KM 6;;;SABARA;MG;Gasolina C Comum;4,157;11/03/2019 15:26
25550716000193;POSTO DAS NACOES LTDA;RODOVIA MG 5,KM 6;;;SABARA;MG;Etanol;2,88;11/03/2019 15:27
25550716000193;POSTO DAS NACOES LTDA;RODOVIA MG 5,KM 6;;;SABARA;MG;Diesel S10;3,289;11/03/2019 15:26
25680117000194;POSTO ARCO-IRIS;AVENIDA LUIS TANURE,34;;CENTRO;MEDINA;MG;Gasolina C Comum;4,849;28/03/2019 15:49
25680117000194;POSTO ARCO-IRIS;AVENIDA LUIS TANURE,34;;CENTRO;MEDINA;MG;Etanol;3,299;28/03/2019 15:49
25680117000194;POSTO ARCO-IRIS;AVENIDA LUIS TANURE,34;;CENTRO;MEDINA;MG;Diesel S10;3,879;28/03/2019 15:49
25865312000199;POSTOS SR;AVENIDA COLUMBIA,540;;RIACHO DAS PEDRAS;CONTAGEM;MG;Gasolina C Comum;4,677;21/06/2018 11:09
25865312000199;POSTOS SR;AVENIDA COLUMBIA,540;;RIACHO DAS PEDRAS;CONTAGEM;MG;Etanol;2,998;21/06/2018 11:09
25865312000199;POSTOS SR;AVENIDA COLUMBIA,540;;RIACHO DAS PEDRAS;CONTAGEM;MG;Diesel S500;3,439;21/06/2018 11:09
25865312000199;POSTOS SR;AVENIDA COLUMBIA,540;;RIACHO DAS PEDRAS;CONTAGEM;MG;Diesel S10;3,499;21/06/2018 11:09
26529830000285;AUTO POSTO VO CLOVIS LTDA;RUA WALDEMAR RANGRAB,2050;;PEPERI;SAO MIGUEL DO OESTE;SC;Gasolina C Comum;4,399;25/09/2018 08:23
26529830000285;AUTO POSTO VO CLOVIS LTDA;RUA WALDEMAR RANGRAB,2050;;PEPERI;SAO MIGUEL DO OESTE;SC;Diesel S500;3,399;25/09/2018 08:23
26529830000285;AUTO POSTO VO CLOVIS LTDA;RUA WALDEMAR RANGRAB,2050;;PEPERI;SAO MIGUEL DO OESTE;SC;Diesel S10;3,449;25/09/2018 08:23
26529830000447;AUTO POSTO VO CLOVIS LTDA;RUA BARAO DO RIO BRANCO,165;;CENTRO;BRUSQUE;SC;Gasolina C Comum;4,09;24/09/2018 14:28
26529830000447;AUTO POSTO VO CLOVIS LTDA;RUA BARAO DO RIO BRANCO,165;;CENTRO;BRUSQUE;SC;Diesel S10;3,39;24/09/2018 14:28
26602128000119;POSTO NOVO CEU;RODOVIA MT 320,S/N;KM 79;TREVO CANAA;NOVA CANAA DO NORTE;MT;Gasolina C Comum;4,74;13/06/2019 13:48
26602128000119;POSTO NOVO CEU;RODOVIA MT 320,S/N;KM 79;TREVO CANAA;NOVA CANAA DO NORTE;MT;Etanol;2,92;12/08/2019 13:12
26602128000119;POSTO NOVO CEU;RODOVIA MT 320,S/N;KM 79;TREVO CANAA;NOVA CANAA DO NORTE;MT;Diesel S500;4,02;13/06/2019 13:48
26602128000119;POSTO NOVO CEU;RODOVIA MT 320,S/N;KM 79;TREVO CANAA;NOVA CANAA DO NORTE;MT;Diesel S10;4,12;13/06/2019 13:48
26947902000123;POSTO DA FIGUEIRA VI;AVENIDA DORIVAL CANDIDO LUZ DE OLIVEIRA,2340;;COHAB C;GRAVATAI;RS;Gasolina C Comum;4,179;14/10/2019 15:58
